aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id
https://www.awin1.com/pclick.php?p=43857232949&a=90270&m=109004,"Feyenoord vs AFC Ajax",43857232949,116873,https://www.footballticketnet.com/theme/images/venues/Buy-De-Kuip-Football-Tickets-FootballTicketNet.jpg,"Event Type: Football, Venue: De Kuip, Date: 2026-03-22, Time: 14:30:00",Football,234.03,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.footballticketnet.com%2Ftheme%2Fimages%2Fvenues%2FBuy-De-Kuip-Football-Tickets-FootballTicketNet.jpg&feedId=113394&k=2fd747602fff2ca717171a34113da9824508d3a1,USD,,,https://www.footballticketnet.com/dutch-eredivisie/feyenoord-vs-afc-ajax,,,USD234.03,113394
https://www.awin1.com/pclick.php?p=43857232947&a=90270&m=109004,"Newcastle United vs Sunderland",43857232947,114726,https://www.footballticketnet.com/theme/images/venues/Buy-St-James-Park-Football-Tickets-FootballTicketNet.jpg,"Event Type: Football, Venue: St James Park, Date: 2026-03-22, Time: 12:00:00",Football,277.21,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.footballticketnet.com%2Ftheme%2Fimages%2Fvenues%2FBuy-St-James-Park-Football-Tickets-FootballTicketNet.jpg&feedId=113394&k=ec6d5082f5aad362de2d5bcc4f9219126f77e626,USD,,,https://www.footballticketnet.com/premier-league/newcastle-united-vs-sunderland,,,USD277.21,113394
https://www.awin1.com/pclick.php?p=43857232948&a=90270&m=109004,"Tottenham Hotspur vs Nottingham Forest",43857232948,114668,https://www.footballticketnet.com/theme/images/venues/Buy-Tottenham_Hotspur_Stadium-Football-Tickets-FootballTicketNet.png?v=1548172896,"Event Type: Football, Venue: Tottenham Hotspur Stadium, Date: 2026-03-22, Time: 14:15:00",Football,109.02,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.footballticketnet.com%2Ftheme%2Fimages%2Fvenues%2FBuy-Tottenham_Hotspur_Stadium-Football-Tickets-FootballTicketNet.png%3Fv%3D1548172896&feedId=113394&k=740c20e2f063c3730f6fcead9e34fe18213792f6,USD,,,https://www.footballticketnet.com/premier-league/tottenham-hotspur-vs-nottingham-forest,,,USD109.02,113394
https://www.awin1.com/pclick.php?p=43857232950&a=90270&m=109004,"Fiorentina vs Inter Milan",43857232950,116563,https://www.footballticketnet.com/theme/images/venues/Buy-Stadio_Artemio_Franchi-Football-Tickets-FootballTicketNet.png,"Event Type: Football, Venue: Stadio Artemio Franchi, Date: 2026-03-22, Time: 15:00:00",Football,170.65,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.footballticketnet.com%2Ftheme%2Fimages%2Fvenues%2FBuy-Stadio_Artemio_Franchi-Football-Tickets-FootballTicketNet.png&feedId=113394&k=e9afe9f8807a33ebe1350ef1e7b72ca312009bab,USD,,,https://www.footballticketnet.com/italian-serie-a/fiorentina-vs-inter-milan,,,USD170.65,113394
https://www.awin1.com/pclick.php?p=43857232951&a=90270&m=109004,"Paris FC vs Le Havre AC",43857232951,116401,,"Event Type: Football, Venue: Stade Jean-Bouin, Date: 2026-03-22, Time: 15:00:00",Football,31.63,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/noimage.gif,USD,,,https://www.footballticketnet.com/french-ligue-1/paris-fc-vs-le-havre-ac,,,USD31.63,113394
https://www.awin1.com/pclick.php?p=43857232952&a=90270&m=109004,"Olympique Lyonnais vs AS Monaco",43857232952,116185,https://www.footballticketnet.com/theme/images/venues/Buy-Parc_Olympique_Lyonnais-Football-Tickets-FootballTicketNet.png,"Event Type: Football, Venue: Groupama Stadium, Date: 2026-03-22, Time: 15:00:00",Football,55.66,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.footballticketnet.com%2Ftheme%2Fimages%2Fvenues%2FBuy-Parc_Olympique_Lyonnais-Football-Tickets-FootballTicketNet.png&feedId=113394&k=6793f1a82da393a8be261e7cdf5c999453d0fc20,USD,,,https://www.footballticketnet.com/french-ligue-1/olympique-lyonnais-vs-as-monaco,,,USD55.66,113394
https://www.awin1.com/pclick.php?p=43857232953&a=90270&m=109004,"AS Roma vs Lecce",43857232953,116757,https://www.footballticketnet.com/theme/images/venues/Buy-Stadio-Olimpico-Football-Tickets-FootballTicketNet.jpg,"Event Type: Football, Venue: Stadio Olimpico, Date: 2026-03-22, Time: 15:00:00",Football,57.85,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.footballticketnet.com%2Ftheme%2Fimages%2Fvenues%2FBuy-Stadio-Olimpico-Football-Tickets-FootballTicketNet.jpg&feedId=113394&k=cee97b7a5cbc58b8975ba992885d02129e58fb1d,USD,,,https://www.footballticketnet.com/italian-serie-a/as-roma-vs-lecce,,,USD57.85,113394
https://www.awin1.com/pclick.php?p=43857232955&a=90270&m=109004,"Toulouse FC vs FC Lorient",43857232955,116266,https://www.footballticketnet.com/theme/images/venues/Buy-Stadium-Municipal-Football-Tickets-FootballTicketNet.jpg,"Event Type: Football, Venue: Stadium Municipal, Date: 2026-03-22, Time: 15:00:00",Football,126.5,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.footballticketnet.com%2Ftheme%2Fimages%2Fvenues%2FBuy-Stadium-Municipal-Football-Tickets-FootballTicketNet.jpg&feedId=113394&k=3a9b4730fe714a5b511650da95ef828e4bfed19b,USD,,,https://www.footballticketnet.com/french-ligue-1/toulouse-fc-vs-fc-lorient,,,USD126.5,113394
https://www.awin1.com/pclick.php?p=43857232956&a=90270&m=109004,"Atalanta vs Verona",43857232956,116467,https://www.footballticketnet.com/theme/images/venues/Buy-Stadio-Atleti-Azzurri-dItalia-Football-Tickets-FootballTicketNet.jpg,"Event Type: Football, Venue: Gewiss Stadium, Date: 2026-03-22, Time: 15:00:00",Football,74.61,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.footballticketnet.com%2Ftheme%2Fimages%2Fvenues%2FBuy-Stadio-Atleti-Azzurri-dItalia-Football-Tickets-FootballTicketNet.jpg&feedId=113394&k=de71bb39a550e6bb8fd5ba1ef2668fe54607068a,USD,,,https://www.footballticketnet.com/italian-serie-a/atalanta-vs-verona,,,USD74.61,113394
https://www.awin1.com/pclick.php?p=43857232957&a=90270&m=109004,"Bologna vs SS Lazio",43857232957,116489,https://www.footballticketnet.com/theme/images/venues/Buy-Stadio-Renato-Dall-Ara-Football-Tickets-FootballTicketNet.jpg,"Event Type: Football, Venue: Stadio Renato Dall Ara, Date: 2026-03-22, Time: 15:00:00",Football,18.91,"Football TicketNet US",109004,Football,271,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.footballticketnet.com%2Ftheme%2Fimages%2Fvenues%2FBuy-Stadio-Renato-Dall-Ara-Football-Tickets-FootballTicketNet.jpg&feedId=113394&k=701f35357a5322b0ea94c31a10b4a694cb025f32,USD,,,https://www.footballticketnet.com/italian-serie-a/bologna-vs-ss-lazio,,,USD18.91,113394
